""	"Time"	"Flow_S5"	"Flow_S6"	"Mean_CH4_S5"	"Mean_CO2_S5"	"Mean_N2O_S5"	"Mean_NH3_S5"	"Mean_CH4_S6"	"Mean_CO2_S6"	"Mean_N2O_S6"	"Mean_NH3_S6"
"60"	1655481258.95113	20375.6973455165	27034.4421777445	266.229816228763	18527.1702637017	0.588033894180065	5736.24042398862	341.492125914877	25387.5478688591	0.805991627667679	9194.17120466845
"61"	1655483657.22932	20039.5252970405	26820.8413831918	267.032181068188	18902.2220665028	0.576312913294287	6089.84952761535	331.780235409848	25035.7144867611	0.79745226516477	8271.82246408269
"62"	1655486056.2619	20537.5219470647	26623.493012291	303.118912172929	23233.6030625509	0.575178325919555	6055.08438733464	264.613876538554	21896.3791608242	0.593282286962909	6663.29262094013
"63"	1655488456.75188	20080.9216049305	26604.6649346653	281.760541004031	20467.8017041752	0.476261176848981	5323.39642214603	256.375584238265	21833.4828619308	0.442033208686575	5806.73549517505
"64"	1655490853.99624	20628.6213174313	27156.0023767474	298.090921225941	22958.3946719207	0.489423967383356	6141.32616497698	305.338051091848	22474.3328836133	0.363591777028614	6314.04044623479
"65"	1655493254.93484	20762.730222437	26884.2957821707	295.718449612391	21136.5873983794	0.428214210738067	6329.41885079433	277.277038023784	23331.9817049155	0.490383778738283	6879.0939625241
"66"	1655495655.11779	20203.5451770721	26426.3571980804	319.801478999941	20421.3398123357	0.439602168556383	5506.06893242536	317.641117816209	24524.8017765865	0.685638903873788	7034.78559422131
"67"	1655498052.71178	20595.5689370479	26170.8715695689	278.065107114951	19414.3330954352	0.546325853131693	5600.39814406441	329.970149368412	21636.425454317	0.605501277315271	7381.79534153184
"68"	1655500453.59023	20422.2009936665	27051.4410747637	257.874508658426	20272.5428625128	0.502473672226517	5699.11550809728	331.64027806793	23953.1621534057	0.918690628424684	7946.49058928402
"69"	1655502852.10777	20577.0208015924	27158.5647575108	263.257797024302	22622.2083406857	0.528617040537878	5737.94286756357	267.245678299228	21228.5067976481	0.601585307750779	6968.90791681058
