time,CH4_emission_manure,CH4_emission_total,temperature_manure,slurry_mass,VFA,pH,SectionID
29.5902777777778,,,,22210.12248,,,5
30,6167.50652335012,6587.74656598407,17.5137936966507,,,,5
31,6316.02495962687,6739.80138696263,17.5428904893663,,,,5
32,5702.99258479175,6130.27530264533,17.4151823820891,,,,5
33,5279.53280520552,5710.29179851253,17.228805063705,,,,5
34,5269.2603724359,5703.46550977862,17.1627453613281,,,,5
35,5331.82702738873,5769.46042661167,16.8335444471571,,,,5
36,5476.97445736061,5917.63986354553,16.6840882251881,,2.63046284118908,,5
36.3055555555556,,,,33843.99616,,,5
37,5426.90263136927,5869.22150188033,17.1583758770978,,,,5
38,5734.7786862863,6177.98912451042,18.4383368372034,,,,5
39,5955.38303606129,6398.60549604319,18.7034850848163,,,,5
40,6251.26351689417,6694.46375696421,18.6154002549913,,,,5
41,6397.49602196914,6841.44906315862,18.6293031593605,,,,5
42,7180.96557723512,7625.62905721732,18.6073564317491,,,,5
43,6902.76528804644,7348.09686265006,18.9847209789135,,,,5
43.3888888888889,,,,45477.86984,,,5
44,7094.54987951935,7540.50725077633,19.7977429651331,,,,5
45,7652.47860051847,8098.58120389003,20.4134430157697,,,,5
46,8351.20989972254,8796.79352478893,20.0598127124928,,,,5
47,9154.42046341616,9599.27172294717,19.5376295550311,,,,5
48,9746.84829928987,10190.1341935711,19.7027066831236,,,,5
49,9813.30175516203,10254.9799952425,19.7292215078848,,,,5
50,10157.6967631282,10598.5740098447,20.2172134512442,,,7.33,5
50.3194444444445,,,,57111.74352,,,5
51,7856.08020503897,8296.11675909376,20.5927904821325,,,,5
51.2916666666667,,,,59226.99328,,,5
51.3472222222222,,,,8460.99904,,,5
52,6947.28192430609,7386.45862978604,20.5518762207031,,,,5
53,6421.16279117532,6859.43458186014,20.2554464382596,,,,5
54,6081.81207934327,6518.81570017816,20.3405520742911,,,,5
55,6243.6336236086,6678.73989535406,20.5046063458478,,,,5
56,6242.76384356947,6674.96576905726,20.4816665536386,,,,5
57,6434.71227536503,6863.19930620725,20.8868369095414,,,,5
57.375,,,,27498.24688,,,5
58,7041.43708175997,7466.99137184513,21.6119726788556,,,,5
59,6889.15902288065,7312.57984727485,22.2411784080223,,,,5
60,7238.57863379999,7659.85607481716,22.4493247477214,,,,5
61,7327.02215888247,7746.1463178778,21.7935379894869,,,,5
62,8227.41684541057,8643.61880062782,21.660136311849,,,,5
63,8453.18561014378,8866.07092875223,22.3822928873698,,,,5
64,8594.49890663827,9004.22944538472,23.10474738227,,2.63046284118908,7.53,5
64.3263888888889,,,,42304.9952,,,5
65,7091.51539521109,7501.64099371915,22.3321431251808,,,,5
65.2395833333333,,,,44420.24496,,,5
65.2916666666667,,,,8460.99904,,,5
66,5121.26829984223,5537.40338500761,22.2775245723018,,,,5
67,5366.73349809487,5786.76429137619,22.4447566505715,,,,5
68,5647.65783934564,6073.08205783296,21.3311340105975,,,,5
69,5660.31489967308,6091.12467897364,20.5118557174118,,,,5
70,6297.57603526068,6733.88665898759,21.1991557255498,,,,5
71,7631.10007096462,8072.65797935908,21.3783045789931,,,,5
72,9871.04902947403,10317.6455550475,21.0827685546875,,,,5
73,11549.8516478598,12000.8641460591,20.437673791956,,,,5
73.5597222222222,,,,29613.49664,,,5
74,11275.8626399891,11730.9752619252,20.6051044831453,,,,5
75,12324.2443205844,12783.4176474288,21.5094884123626,,,,5
76,14389.2993915799,14642.9269408945,22.2272755036531,,,,5
77,,,21.2029293710214,,2.63046284118908,7.53,5
78,,,20.1820589644821,,,,5
78.3958333333333,,,,46535.49472,,,5
79,,,20.266072229456,46535.495,,,5
80,,,20.299041974103,,,,5
81,,,21.4039256456163,,,,5
82,,,22.0550781023944,,,,5
83,,,22.6889512351707,,,,5
84,,,23.3060217149523,,,,5
84.5833333333333,,,,46535.49472,,,5
85,,,22.6450577799479,,,,5
86,,,22.2391922788267,,,,5
87,,,21.3270624457465,,,,5
88,,,21.8180335828993,,,,5
89,,,21.4283550347222,,,,5
90,,,18.4613759358724,,,,5
91,,,19.8346849681713,,,,5
92,,,20.7535676405165,,,,5
92.4166666666667,,,,10576.2488,,,5
92.5833333333333,,,,10576.2488,,,5
93,,,21.369764223452,,,,5
94,794.662586139861,882.524021052128,21.8934071858724,,2.64228292092727,7.27,5
95,2218.62103942653,2309.91643211332,22.16997567636,,,,5
96,2260.52171325835,2355.37759954515,21.9574598524306,,,,5
97,2430.1132418142,2638.88128418066,21.92161022045,,,,5
98,2801.93632753167,3128.52326041241,22.288249669958,,,,5
99,2972.65057267757,3311.29073383914,22.204732937283,,2.64228292092727,,5
99.3958333333333,,,,14806.74832,,,5
100,3528.76831277918,3876.72128971338,21.6005524359809,,,,5
101,3087.91626885265,3441.74057825171,21.1211008481626,,,,5
102,2921.32870835344,3281.03229600673,20.9760141104239,,,,5
103,3754.74096801224,4121.36371144171,21.0511891004774,,,,5
104,3699.73916052354,4066.18941591613,21.0693621826172,,,,5
105,4162.73973220992,4526.83281461413,21.218917711046,,,,5
106,3608.84093499942,3976.49282731867,20.0478959373192,,,,5
106.520833333333,,,,21152.4976,,,5
107,4373.92254705796,4746.77223869053,19.9154211199725,,,,5
108,4674.87397587038,5051.58566665675,20.1235674596716,,,,5
109,5857.6185169081,6238.13439878392,20.3867295780888,,,,5
110,6170.78799153787,6554.9111293675,21.6333235677083,,,,5
111,6746.78458214205,7134.5040562876,21.3104782669633,,,,5
112,5667.45810915013,6060.02977914754,20.0759996654369,,,,5
113,5005.68710629088,5403.05759368702,19.4149662159107,,2.64228292092727,7.27,5
113.402777777778,,,,25382.99712,,,5
113.479166666667,,,,25429.9552377777,,,5
113.541666666667,,,,21152.4976,,,5
114,5510.02967914509,5912.14574586812,19.7926286824544,,,,5
115,5032.54858916136,5438.70265379167,19.4561287434896,,,,5
116,5132.57585217975,5542.5096734432,19.1097974650065,,,,5
117,5150.12330141568,5563.45088488906,18.9946516248915,,,,5
118,5281.37070253486,5697.01554505174,19.9365237426758,,,,5
119,5425.76040876228,5844.40896868312,20.4002352566189,,,,5
120,5742.990066118,6165.31930372388,20.9914562649197,,,,5
121,5666.47221133189,6090.12170768184,20.9207004123264,,,,5
121.416666666667,,,,29613.49664,,,5
122,6709.23928532855,7134.20548465618,20.4036613294813,,,,5
123,6695.35398302029,7123.82483739453,20.1397047593859,,,,5
124,6895.4508767651,7326.59238622299,19.4833486441153,,,,5
125,7050.57517006162,7484.35359399106,19.1904839635778,,,,5
126,7142.04165223399,7579.17657837868,18.860289984809,,,,5
127,7322.42216596674,7762.86843164372,18.9911758987992,,,,5
128,7604.35220890566,8043.62543053442,18.7649557834201,,,,5
129,7761.10590585741,8198.71861951708,18.7199699571398,,,,5
129.416666666667,,,,33843.99616,,,5
130,7530.99902187146,7970.57538272736,18.8359599021629,,,,5
131,,,18.9771736879702,,,,5
132,,,18.8639643238209,,,,5
133,7365.73165216549,7812.09096034328,18.9548297345197,,,,5
134,7281.97556819803,7729.91448306824,18.8234472882306,,,,5
134.416666666667,,,,44420.24496,,,5
135,7470.99464374883,7920.89825166094,19.1107408763744,,,,5
136,8282.89163924463,8734.72476853481,19.2938619882089,,,,5
137,8936.09246740824,9389.82002765106,19.1354681848597,,,,5
138,9439.12107905461,9894.70803520909,19.0889927616826,,,,5
139,9849.32906578394,10306.5775293106,18.8474794514974,,,,5
140,10678.1492271246,11136.5591299375,18.6888870352286,,,,5
141,8072.07060968939,8531.30334022413,18.2168834318938,,2.64228292092727,7.53,5
141.4375,,,,52881.244,,,5
141.489583333333,,,,52963.727742821,,,5
141.552083333333,,,,10576.2488,,,5
142,6651.0840147174,7111.545642146,18.3867967845775,,,,5
143,6814.57117825737,7276.69182327205,18.2844118245443,,,,5
144,5882.01672409001,6345.78036741652,17.8809296784578,,,,5
145,6159.67450161819,6625.10225201111,17.835645932798,,,,5
146,6102.95747542144,6569.95927766758,18.0672285970052,,,,5
147,6627.45454915212,7096.05148792327,17.9658367015697,,,,5
148,7050.27935294497,7520.45547129689,18.0933461959274,,,,5
149,7891.0897910561,8362.82911324108,18.3345615867332,,,,5
150,8355.78369818339,8828.2215520274,18.3270142957899,,,,5
151,8920.59323758653,9393.18240499812,18.2950376157407,,,,5
152,8653.62819449909,9126.70744737311,18.0884947832893,,,,5
153,8492.857505747,8966.39123298341,17.1496369086372,,,,5
154,8343.5117772913,8817.48989052986,16.9549465942383,,,,5
155,8148.14803170999,8622.43098723297,16.8249047851562,,2.64228292092727,7.3,5
155.354166666667,,,,33843.99616,,,5
155.479166666667,,,,34054.7229285407,,,5
155.5,,,,6345.74928,,,5
156,6071.26341117314,6546.08918235315,16.9455621337891,,,,5
157,4322.72935978184,4797.96401096999,17.2175625271267,,,,5
158,4613.46506421777,5089.09878961396,17.5740230645074,,,,5
159,4521.55865692143,4997.58165632786,17.8643454996745,,,,5
160,4710.56354568042,5185.15555464367,18.8193439453125,,,,5
161,5118.72914787743,5591.98270332496,19.0908795844184,,,,5
162,5391.22536024865,5864.55979235825,18.9964391411675,,,,5
162.354166666667,,,,24325.37224,,,5
163,5468.23720162033,5941.13894008807,19.1543364122179,,,,5
164,5695.42005203629,6167.65307616774,18.2817305501302,,,,5
165,6268.85022290888,6740.41078741769,18.31792775472,,,,5
166,6877.66401649855,7348.54837841543,18.3782029563273,,,,5
167,7222.23524413101,7692.43966280375,17.4530181432653,,,,5
168,9568.15687982234,9962.26138366676,17.3430858922888,,,,5
169,9632.0823554033,9954.51419223142,17.3853904441551,,2.64228292092727,,5
169.548611111111,,,,35959.24592,,,5
170,7237.99684472069,7560.86889643958,17.4047552038122,,,,5
171,6333.52940334547,6657.02595766173,17.7783461055049,,,,5
172,6539.41410044321,6863.61990691195,17.4728794352213,,,,5
173,7512.15896468993,7837.35580238171,17.951735184281,,,,5
174,8318.74840889923,8538.11515031209,17.8104220920139,,,,5
175,8250.7838177773,8377.54185167847,17.2894604040075,,,,5
176,8526.99041055483,8653.78161891497,16.9842916531033,,,,5
177,6654.57198062702,6781.39273985097,17.0898544198495,,,,5
178,7677.07658641253,7803.928986887,17.5370314082393,,,,5
179,8532.82612772071,8659.71100407015,17.8167777054398,,,,5
180,8772.14457280484,8899.05933892029,18.3493582492405,,,,5
181,9606.84620566623,9733.79188775269,18.7897823983652,,,,5
182,8245.98910730174,8372.96546299259,19.0715148247613,,,,5
183,7690.9852746113,7817.99206118395,19.1963430447049,,,,5
184,7178.46267770666,7305.49756620302,19.3886003508391,,,,5
185,9591.74333970842,9628.55188313843,19.403992852105,,,,5
186,8276.90709186397,8298.10448661873,19.4928721336082,,,,5
186.541666666667,,,,46716.0152741648,,,5
187,8020.68673154557,8041.7764129397,19.3745981400101,,,,5
188,6579.15509442487,6599.39259927329,19.1235514096861,,,,5
189,6066.62478036226,6085.88376214623,19.0041850450304,,,,5
190,5559.49011282975,5569.82664898098,18.6211600296586,,,,5
191,,,18.2966265190972,,2.64228292092727,7.3,5
191.229166666667,,,,47169.3425482344,,,5
192,,,18.1139026331019,47169.343,,,5
193,,,18.0986094382957,,,,5
194,,,18.0321734167028,,,,5
195,,,18.0736835168909,,,,5
196,1133.18633088492,1356.47645715317,18.0436929660373,,3.23642708724434,7.15333333333333,5
196.479166666667,,,,47169.3425482344,,,5
196.5625,,,,33843.99616,,,5
197,2450.65028635973,2681.58828457444,18.1054615840205,,,,5
198,2722.10209125385,2960.57095548654,17.7524271195023,,,,5
199,2934.94164107357,3181.36963456236,17.5710935239439,,,,5
200,3099.42287692883,3353.8284382008,17.3369288917824,,,,5
201,3227.70807519713,3490.10872628142,16.984887491862,,,,5
202,3500.67562505509,3771.08878229713,16.3048368552879,,,,5
203,3439.84217757987,3718.28533242313,15.89748175727,,,,5
204,3754.04758574201,4040.53812617348,14.6288417335793,,,,5
204.447916666667,,,,33843.99616,,,5
205,4283.17330891752,4577.48983602072,12.2052675826461,,,,5
206,5728.69171131561,6030.44841912901,13.2667543312355,,,,5
207,5763.17162614773,6071.73253844709,14.5011336263021,,,,5
208,4091.3577905144,4406.89681732085,16.0631249321831,,,,5
209,4243.60419843152,4566.13638717399,16.7903461371528,,,,5
210,4389.48341781569,4719.02358783448,17.2276917860243,,,,5
211,4241.72220358273,4578.38296006347,17.4837038393374,,3.23642708724434,,5
211.534722222222,,,,48650.74448,,,5
212,4343.7057525493,4687.39930553459,17.7134989872685,,,,5
213,4371.43543769353,4721.96005010517,17.87993661386,,,,5
214,4486.20300803592,4843.56499984546,17.9479615388093,,,,5
215,4483.4835598796,4847.35083596279,17.7600453436312,,,,5
216,4444.73781130743,4814.74623149021,17.5707956045645,,,,5
217,4404.40541861531,4780.47861105632,17.5999917037399,,,,5
218,4482.28303575362,4864.45548451998,17.5616594102648,,,,5
218.541666666667,,,,57111.74352,,,5
219,4915.22800211021,5303.50542827893,17.5343501338252,,,,5
220,4746.45623342153,5140.84447805182,17.3920439769604,,,,5
221,4742.00674687234,5127.47350690764,17.2977028401693,,,,5
222,5224.90189137871,5599.33543362127,17.2609594500506,,,,5
223,5400.8418021958,5780.90371651919,17.2155763979311,,,,5
224,5624.8423226755,6010.34770501043,17.2260035762081,,,,5
225,5432.7275282389,5823.15851914208,17.1541056993273,,3.23642708724434,7.15333333333333,5
225.416666666667,,,,67687.99232,,,5
225.472222222222,,,,67773.4569567727,,,5
225.493055555556,,,,12691.49856,,,5
226,4022.48227177432,4413.50417579557,17.0583742720993,,,,5
227,4051.82133215834,4442.86599798605,17.0049473967376,,,,5
228,3388.36954152955,3783.91912907629,16.9411926495587,,,,5
229,3234.03129095133,3633.40389179272,16.8378146249277,,,,5
230,3761.35128322772,4164.45042937966,16.7314574065032,,,,5
231,4185.08799550971,4592.6914854101,16.6500261094835,,,,5
232,3752.81814424359,4164.93090739804,16.674654111509,,,,5
232.46875,,,,25382.99712,,,5
233,4261.3094943729,4677.93569240622,16.6593609167028,,,,5
234,4774.35877294841,5195.07541289944,16.6067284930194,,,,5
235,4791.06655785324,5215.3337546501,16.5679989737052,,,,5
236,5053.1239075638,5480.87946002308,16.5582031007797,,,,5
237,5219.38883459333,5650.74612538071,16.0102442423503,,,,5
238,5506.95818567479,5941.69982350803,15.8724565294054,,,,5
239,4897.14412416548,5335.38347682303,15.7720576985677,,3.23642708724434,,5
239.395833333333,,,,40189.74544,,,5
240,5774.80983595383,6216.29624034365,15.3941469658746,,,,5
241,,,15.4774154324002,,,,5
242,,,15.5115272013346,,,,5
243,,,15.2831719970703,,,,5
244,,,15.1763678995768,,,,5
245,6361.50772303253,6818.31116894477,15.2180766126844,,,,5
246,6519.35816719559,6977.74475260009,15.2159911770291,,,,5
247,7127.28710830978,7587.06637146635,15.2569550916884,,,,5
248,6770.56418047148,7231.55541695983,15.2718510606554,,,,5
249,7174.68177356563,7637.86511056375,15.1906680297852,,,,5
250,7082.69066797121,7548.02221160846,15.1945409817166,,,,5
251,7305.75256412008,7773.23007276135,15.2597853257921,,,,5
252,6721.1554360941,7190.77958263239,15.4407713487413,,,,5
253,5793.82407206276,6265.1281109897,15.3412662760417,,3.23642708724434,,5
253.458333333333,,,,42304.9952,,,5
253.517361111111,,,,42304.9952,,,5
253.520833333333,,,,14806.74832,,,5
254,4470.01838947494,4942.33960976147,15.385805223253,,,,5
255,4204.63683265759,4677.82243217158,15.5533848741319,,,7,5
256,4034.14239673191,4508.19224515469,15.5644078911675,,,,5
257,3888.80675121398,4363.72083214716,15.6214594523112,,,,5
258,3859.59753460588,4335.37583673418,15.5414680989583,,,,5
259,3874.45174337575,4351.09428573546,15.397126159668,,,,5
260,4139.47541152518,4616.98220167155,15.4647538587782,,,,5
261,4871.18931251811,5348.73544501172,15.5189751858181,,,,5
262,4887.16470658904,5364.44342819087,15.5459368896484,,,,5
263,4399.97037000508,4877.25056973211,15.7042810397678,,,,5
264,5108.47950408244,5585.24361094103,15.653187866211,,,,5
265,5562.83975452026,6039.08722625033,,,,,5
266,5548.95397697763,6024.68481317008,,,,,5
267,4672.05825575382,5147.2724436364,,,3.23642708724434,7.19,5
267.451388888889,,,,44420.24496,,,5
267.5625,,,,16921.99808,,,5
268,3642.04849555617,4116.72178181243,,,,,5
269,8333.49813797668,8807.68213644583,,,,,5
270,7978.25745786315,8451.91942326911,,,,,5
271,9848.48889068769,10321.6342087531,,,,,5
272,9484.45683249799,9956.65348615483,,,,,5
273,9481.15312538291,9951.77882004394,,,,,5
273.645833333333,,,,25382.99712,,,5
274,9124.06076023684,9592.96447468894,,,,,5
275,9648.28546282239,9897.34376741427,,,,,5
277,,,,,3.23642708724434,7.19,5
277.395833333333,,,,27498.24688,,,5
279,,,,27498.247,,,5
280,,-12.5260886015093,,,,,5
281,,884.714654502194,15.8,,,7.24844444444445,5
281.458333333333,,,,27498.24688,,,5
281.46,,,,27498.24688,,,5
281.54,,,,8460.99904,,,5
282,,,,,,,5
283,,,,,,,5
284,,,,,,,5
285,,,,,,,5
286,,,,,,,5
287,,,,,,,5
288,,,,,,,5
289,,,,,,,5
290,,,,,,,5
291,,,,,,,5
292,,,,,,,5
293,,,,,,,5
294,,,,,,,5
295,,,,,,,5
296,,,,,,,5
297,,,,,,,5
298,,,,,,,5
299,,,,,,,5
300,,,,,,,5
301,,,,,,,5
302,,,,,,,5
303,,,,,,,5
304,,,,,,,5
305,,,,,,,5
306,,,,,,,5
307,,,,,,,5
308,,,,,,,5
309,,,,,,,5
310,,,,,,,5
311,,,,,,,5
312,,,,,,,5
313,,,,,,,5
314,,,,,,,5
315,,,,,,,5
316,,,,,,7.24844444444445,5
316.5,,,,50765.99424,,,5
316.6,,,,8460.99904,,,5
317,,,,,,,5
318,,,,,,,5
319,,,,,,,5
320,,,,,,,5
321,,,,,,,5
322,,,,,,,5
323,,,,,,,5
324,,,,,,,5
325,,,,,,,5
326,,,,,,,5
327,,,,,,,5
328,,,,,,,5
329,,,,,,,5
330,,,,,,,5
331,,,,,,,5
332,,,,,,,5
333,,,,,,,5
334,,,,,,,5
335,,,,,,,5
336,,,,,,,5
337,,,,,,,5
338,,,,,,,5
339,,,,,,,5
340,,,,,,,5
341,,,,,,,5
342,,,,,,,5
343,,,,,,,5
344,,,,,,7.24844444444445,5
344.48,,,,33843.99616,,,5
344.58,,,,8460.99904,,,5
345,,,,,,,5
346,,,,,,,5
347,,,,,,,5
348,,,,,,,5
349,,,,,,,5
350,,,,,,,5
351,,,,,,,5
352,,,,,,,5
353,,,,,,,5
354,,,,,,,5
355,,,,,,,5
356,,,,,,,5
357,,,,,,,5
358,,,17.7,,,7.24844444444445,5
358.48,,,,31728.7464,,,5
358.58,,,,10576.2488,,,5
0,982.697191294396,1243.95512654999,14.6455836343869,11633.87368,2.67646550737932,7.47,6
0.270833333333333,,,,11633.87368,,,6
1,2969.03078845189,3239.74233816823,14.724275241428,,,,6
2,2711.28681094168,2991.31452640266,14.7056056269893,,,,6
3,3819.01894550022,4108.35483979957,15.2674815764251,,,,6
4,2474.57111952958,2773.20730273255,15.9318417923539,,,,6
5,2397.25483290182,2705.18334243825,16.2806060791016,,,,6
6,2728.27221165243,3045.46998400323,16.6929265001085,,,,6
7,2838.06832881187,3164.41942722467,17.8910589373553,,,,6
8,3047.2102344143,3382.72565518364,16.8683017080801,,,,6
9,3076.69772775245,3420.1805790172,16.3566748272931,,,,6
10,3727.04094624151,4077.26572426274,15.7933092809607,,,,6
11,3977.38117968487,4334.3257110178,15.6178347665292,,,,6
12,4413.78967767623,4777.54953537713,16.047831737377,,2.67646550737932,,6
12.4895833333333,,,,25382.99712,,,6
13,4550.68188718274,4921.28232111307,16.1573667625145,,,,6
14,5596.63952269689,5973.84616640789,16.2263847520616,,,,6
15,5686.05692045844,6072.42546439464,16.0065202501085,,,,6
16,5504.39079927394,5895.47584342957,16.0755382396557,,,,6
17,5987.38911736392,6384.96500854903,15.9228049045139,,,,6
18,5864.85970855097,6268.64440529456,15.8853663691768,,,,6
19,6924.6222538783,7334.13402448572,15.9729298400879,,,,6
19.5625,,,,33843.99616,,,6
20,6780.31276179051,7195.45904953727,16.4695862720631,,,,6
21,6581.97320320387,7002.71290062488,17.1205401159216,,,,6
22,5822.44538246875,6248.73722714261,17.0325545925564,,,,6
23,5963.32153262316,6395.12430356991,16.8295721887659,,,,6
24,6121.64309066502,6558.91567179943,16.6288738335504,,,,6
25,6220.69091567516,6663.07485423058,16.7360255036531,,,,6
26,6485.92448972627,6924.03114246138,17.1739669912833,,,7.47,6
26.5625,,,,43362.62008,,,6
27,4780.14444161184,5200.18582652435,17.0669146276403,,,,6
27.2395833333333,,,,44283.3203103615,,,6
27.2986111111111,,,,8460.99904,,,6
28,4330.21028102169,4741.82947556152,16.9637352159288,,,,6
29,4150.14587343373,4565.34795073597,16.6137792516638,,,,6
30,4249.83419410035,4668.55643690889,16.3081139684606,,,,6
31,4698.80526969226,5121.03047501095,16.6676033528646,,,,6
32,5186.74268624195,5612.4087187083,16.653402529116,,,,6
33,5715.23074238572,6144.17584549732,16.4484444494415,,,,6
33.59375,,,,25382.99712,,,6
34,5703.6761824619,6135.78782582304,16.7212288411458,,,,6
35,6054.12754596213,6489.3716711742,16.8622440140336,,,,6
36,5709.18973240072,6147.10833564428,16.4686925139251,,,,6
37,6650.03465661138,7089.39227975716,17.0121967683015,,,,6
38,6792.71082395149,7232.7295335242,18.2856035020616,,,,6
39,7367.58489429531,7808.11545572575,19.0369561767578,,,,6
40,7080.849850182,7521.57246411903,19.1009095368562,,2.67646550737932,,6
40.3020833333333,,,,34901.62104,,,6
41,7017.50264630189,7458.2390288739,19.0181872558594,,,,6
42,6704.87817734061,7145.53084208573,19.3043884729456,,,,6
43,7220.65381181056,7661.15343798957,19.6545430501302,,,,6
44,7414.05511135034,7854.35419948906,19.7258450882523,,,,6
45,7872.77082066108,8312.55887008225,19.7479904287833,,,,6
46,8135.83737230115,8574.64275010624,19.1887957537616,,,,6
47,8490.15216004581,8927.6401569443,18.8405795341388,,,,6
47.3854166666667,,,,46535.49472,,,6
48,8495.57181147512,8931.3953352292,19.1707964579264,,,,6
49,8292.88047836428,8726.79042643465,19.1017536417643,,,,6
50,8834.71500419051,9266.96327539452,19.5581661309136,,,,6
51,9696.96273618982,10127.8523638502,20.1797004360623,,,,6
52,10304.7071020702,10734.3229292285,20.2413697475857,,,,6
53,10839.427850957,11268.014875554,19.9983420138889,,,,6
54,10828.0547854644,11255.396782414,20.1143816121419,,,7.37,6
54.3194444444444,,,,58169.3684,,,6
55,7053.37701767602,7478.84996256848,20.3402789815267,,,,6
55.25,,,,61342.24304,,,6
55.3506944444445,,,,10576.2488,,,6
56,5485.63529788455,5909.820809582,20.4806734890408,,,,6
57,5386.24030419549,5809.10060905395,20.9763368564182,,,,6
58,5000.04446648601,5420.85282355222,21.7203160264757,,,,6
59,5354.41816326862,5773.11680922934,22.295970747206,,,,6
60,5795.07155674676,6146.3918030003,22.6262888590495,,,,6
61,6225.49672467578,6507.50963934418,22.0000516836984,,,,6
61.3715277777778,,,,23267.74736,,,6
62,6275.177296907,6555.73469036861,22.0009560818143,,,,6
63,6524.34630865443,6803.19796768401,22.2675939263238,,,,6
64,7173.80106927687,7450.5219998941,22.8613969025788,,,,6
65,7146.10033443551,7423.44504373704,22.2419728597005,,,,6
66,6865.49307631181,7146.50447005635,22.2288644070096,,,,6
67,7060.72744990145,7345.40034178296,22.3593530951606,,,,6
68,7311.59345798509,7599.13787618132,21.2939933946398,,2.67646550737932,7.56,6
68.3229166666667,,,,31728.7464,,,6
69,5191.53450988076,5480.9124155306,20.1572820027669,,,,6
69.2361111111111,,,,33843.99616,,,6
