""	"Datetime"	"CH4_g_d"	"Temperature_C"	"Pigs_Number"	"Pigs_Mass"	"Slurry_Mass"	"Feed_Rate"	"Batch_Rate"	"Section_Rate"	"Section"	"Batch"	"Section_C"	"Section_d"	"Comments"
"26771"	2022-05-01 05:00:00	NA	15.1863481987847	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20419"	2022-05-01 06:00:00	NA	15.5128678385417	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26772"	2022-05-01 06:00:00	NA	15.2220985243056	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20420"	2022-05-01 07:00:00	NA	15.5557682291667	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26773"	2022-05-01 07:00:00	NA	15.2506987847222	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20421"	2022-05-01 08:00:00	NA	15.5867518446181	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26774"	2022-05-01 08:00:00	NA	15.2792990451389	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20422"	2022-05-01 09:00:00	NA	15.6344189453125	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26775"	2022-05-01 09:00:00	NA	15.3007492404514	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20423"	2022-05-01 10:00:00	NA	15.6677859157986	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26776"	2022-05-01 10:00:00	NA	15.3507996961806	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20424"	2022-05-01 11:00:00	NA	15.7083029513889	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26777"	2022-05-01 11:00:00	NA	15.3698665364583	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20425"	2022-05-01 12:00:00	NA	15.7440532769097	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26778"	2022-05-01 12:00:00	NA	15.3889333767361	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20426"	2022-05-01 13:00:00	NA	15.7726535373264	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26779"	2022-05-01 13:00:00	NA	15.4342171223958	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20427"	2022-05-01 14:00:00	NA	15.8346207682292	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
"26780"	2022-05-01 14:00:00	NA	15.4628173828125	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"NaN"
"20428"	2022-05-01 15:00:00	NA	15.8679877387153	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"NaN"
